# Day,Lon,Lat,Altitude[m],NO,acd_NO,NO2,acd_NO2,O3,acd_O3,FORM,toga_CH2O,HNO3,zhou_HNO3,ISOP,ptrms_isoprene,MEOH,toga_Methanol,MEOH,ptrms_methanol,ALD2,toga_Acetaldehyde,ALD2,ptrms_acetaldehyde,ACET,toga_Acetone,BENZ,toga_Benzene,PRPA,toga_Propane,TERP,ptrms_sum_of_monoterpenes,ISPD+HPLD,ptrms_MVK_MACR
20130603,-87.15412,34.37822,1071.823,0.105,41.405,0.258,60.001,49.980,48.751,1.163,2107.000,1.222,-999.000,0.018,0.150,1.474,3852.000,1.474,-999.000,0.197,638.400,0.197,-999.000,0.809,1553.000,0.022,24.560,0.111,524.000,0.002,-999.000,0.107,-999.000
20130603,-87.21581,34.37338,1058.147,0.105,42.973,0.258,70.761,49.980,50.026,1.163,2107.000,1.222,-999.000,0.018,0.131,1.474,3852.000,1.474,-999.000,0.197,638.400,0.197,-999.000,0.809,1553.000,0.022,24.560,0.111,524.000,0.002,-999.000,0.107,-999.000
20130603,-87.27947,34.36888,1058.291,0.105,45.290,0.258,72.256,49.980,49.986,1.163,2234.000,1.222,-999.000,0.018,0.184,1.474,3609.000,1.474,-999.000,0.197,599.400,0.197,-999.000,0.809,1575.000,0.022,25.890,0.111,491.000,0.002,-999.000,0.107,-999.000
20130603,-87.34212,34.36499,1056.048,0.094,45.724,0.235,75.635,50.177,51.295,1.164,2234.000,1.192,-999.000,0.052,0.132,1.477,3609.000,1.477,-999.000,0.188,599.400,0.188,-999.000,0.811,1575.000,0.019,25.890,0.110,491.000,0.004,-999.000,0.168,-999.000
20130603,-87.40271,34.36261,1052.176,0.094,43.700,0.235,72.062,50.177,51.713,1.164,2130.000,1.192,-999.000,0.052,0.165,1.477,3571.000,1.477,-999.000,0.188,541.800,0.188,-999.000,0.811,1575.000,0.019,25.320,0.110,526.000,0.004,-999.000,0.168,-999.000
20130603,-87.46172,34.36238,1053.508,0.078,39.322,0.195,62.027,49.956,51.210,1.020,2130.000,1.132,-999.000,0.031,0.111,1.382,3571.000,1.382,-999.000,0.163,541.800,0.163,-999.000,0.785,1575.000,0.017,25.320,0.108,526.000,0.002,-999.000,0.107,-999.000
20130603,-87.52248,34.36177,1057.627,0.078,-999.000,0.195,-999.000,49.956,50.714,1.020,2001.000,1.132,-999.000,0.031,0.119,1.382,3395.000,1.382,-999.000,0.163,512.200,0.163,-999.000,0.785,1550.000,0.017,22.620,0.108,515.000,0.002,-999.000,0.107,-999.000
20130603,-87.54322,34.33184,1059.984,0.078,46.768,0.195,61.576,49.956,50.704,1.020,2001.000,1.132,-999.000,0.031,0.137,1.382,3395.000,1.382,-999.000,0.163,512.200,0.163,-999.000,0.785,1550.000,0.017,22.620,0.108,515.000,0.002,-999.000,0.107,-999.000
20130603,-87.48131,34.32387,1060.969,0.078,43.531,0.195,54.089,49.956,51.290,1.020,2134.000,1.132,-999.000,0.031,0.094,1.382,3357.000,1.382,-999.000,0.163,540.700,0.163,-999.000,0.785,1546.000,0.017,25.160,0.108,556.000,0.002,-999.000,0.107,-999.000
20130603,-87.41233,34.32870,1059.808,0.094,46.402,0.235,59.239,50.177,51.237,1.164,2134.000,1.192,-999.000,0.052,0.132,1.477,3357.000,1.477,-999.000,0.188,540.700,0.188,-999.000,0.811,1546.000,0.019,25.160,0.110,556.000,0.004,-999.000,0.168,-999.000
20130603,-87.34453,34.33339,1058.674,0.094,35.076,0.235,61.448,50.177,49.603,1.164,2177.000,1.192,-999.000,0.052,0.152,1.477,3692.000,1.477,-999.000,0.188,633.300,0.188,-999.000,0.811,1605.000,0.019,25.810,0.110,537.000,0.004,-999.000,0.168,-999.000
20130603,-87.27689,34.33752,1060.876,0.094,29.107,0.235,66.002,50.175,50.458,1.167,2177.000,1.187,-999.000,0.039,0.138,1.504,3692.000,1.504,-999.000,0.198,633.300,0.198,-999.000,0.820,1605.000,0.021,25.810,0.111,537.000,0.003,-999.000,0.141,-999.000
20130603,-87.20815,34.34113,1060.046,0.094,26.872,0.235,63.512,50.175,49.923,1.167,-999.000,1.187,-999.000,0.039,0.116,1.504,-999.000,1.504,-999.000,0.198,-999.000,0.198,-999.000,0.820,-999.000,0.021,-999.000,0.111,-999.000,0.003,-999.000,0.141,-999.000
20130603,-87.13997,34.34211,1059.913,0.138,21.193,0.342,54.639,50.956,49.525,1.288,-999.000,1.265,-999.000,0.026,0.145,1.543,-999.000,1.543,-999.000,0.224,-999.000,0.224,-999.000,0.847,-999.000,0.025,-999.000,0.116,-999.000,0.002,-999.000,0.134,-999.000
20130603,-87.07814,34.34968,991.824,0.152,22.588,0.370,59.041,50.606,46.966,1.254,-999.000,1.301,-999.000,0.013,0.114,1.500,-999.000,1.500,-999.000,0.218,-999.000,0.218,-999.000,0.829,-999.000,0.025,-999.000,0.116,-999.000,0.001,-999.000,0.101,-999.000
20130603,-87.09614,34.37713,805.125,0.201,84.817,0.514,244.385,50.348,42.720,1.462,-999.000,1.266,-999.000,0.055,0.190,1.640,-999.000,1.640,-999.000,0.260,-999.000,0.260,-999.000,0.856,-999.000,0.029,-999.000,0.121,-999.000,0.005,-999.000,0.212,-999.000
20130603,-87.16195,34.37874,787.036,0.136,53.963,0.368,127.180,49.229,42.826,1.435,-999.000,1.156,-999.000,0.106,0.171,1.693,-999.000,1.693,-999.000,0.251,-999.000,0.251,-999.000,0.839,-999.000,0.026,-999.000,0.115,-999.000,0.008,-999.000,0.271,-999.000
